Country,alpha_2_code,alpha_3_code,numeric_code,Indicator,Year,Value,Gender,observation_status,current_age
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,2,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,9,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2006,18,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2007,4,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2008,23,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2009,24,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2010,29,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2011,31,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2012,33,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2013,38,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2014,44,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2015,42,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2016,40,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2017,38,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2018,46,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2019,37,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2020,38,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2021,37,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2022,42,Total,Estimated value,Total
Afghanistan,AF,AFG,4,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2023,42,Total,Estimated value,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2001,90,Total,Estimated value,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2002,93,Total,Estimated value,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2003,93,Total,Estimated value,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2004,96,Total,Estimated value,Total
Albania,AL,ALB,8,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",2005,97,Total,Estimated value,Total
