country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,23.26000023,Female,Units,%,Modelled,,,Total
Afghanistan,AF,AFG,4,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,20.75,Male,Units,%,Modelled,,,Total
Afghanistan,AF,AFG,4,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,21.97999954,Total,Units,%,Modelled,,,Total
Albania,AL,ALB,8,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,20.95999908,Female,Units,%,Modelled,,,Total
Albania,AL,ALB,8,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,23.98999977,Male,Units,%,Modelled,,,Total
Albania,AL,ALB,8,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,22.5,Total,Units,%,Modelled,,,Total
Algeria,DZ,DZA,12,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,35.43999863,Female,Units,%,Modelled,,,Total
Algeria,DZ,DZA,12,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,28.60000038,Male,Units,%,Modelled,,,Total
Algeria,DZ,DZA,12,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,31.950000760000002,Total,Units,%,Modelled,,,Total
American Samoa,AS,ASM,16,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,52.40999985,Female,Units,%,Modelled,,,Total
American Samoa,AS,ASM,16,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,57.33000183,Male,Units,%,Modelled,,,Total
American Samoa,AS,ASM,16,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,54.95999908,Total,Units,%,Modelled,,,Total
Andorra,AD,AND,20,"Percentage of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",2022,26.76000023,Female,Units,%,Modelled,,,Total
